outcode,pct_private_rented,pct_students,pct_employed
AL1,18.8,22.1,65.8
AL10,29.3,49.7,40.5
AL2,12.0,18.1,59.0
AL3,10.8,20.2,57.7
AL4,13.1,24.3,62.8
AL5,12.3,26.6,63.6
AL6,14.0,20.2,63.9
AL7,7.0,22.0,68.0
AL8,12.0,17.8,56.8
AL9,12.6,21.1,58.7
B1,55.4,20.1,70.4
B10,34.3,34.2,41.4
B11,32.2,21.4,54.0
B12,56.8,26.8,58.3
B13,16.7,22.3,54.9
B14,15.4,21.3,58.5
B15,25.3,28.2,48.3
B16,45.6,25.2,55.3
B17,31.8,20.1,65.0
B18,28.0,29.2,45.6
B19,19.2,29.8,45.7
B2,66.9,20.7,68.6
B20,16.2,22.5,57.8
B21,31.5,30.0,48.8
B23,20.0,23.2,56.5
B24,17.0,26.1,55.1
B25,18.9,24.6,52.6
B26,13.3,24.7,52.9
B27,27.2,21.1,57.6
B28,21.6,28.1,48.6
B29,34.1,32.7,44.4
B3,55.4,20.1,70.4
B30,25.9,19.4,66.0
B31,16.5,26.3,56.7
B32,13.6,24.0,52.1
B33,16.2,24.1,54.5
B34,12.4,23.0,52.6
B35,9.5,22.5,53.0
B36,9.1,16.0,53.8
B37,13.7,18.1,58.6
B38,11.2,25.8,50.6
B4,35.0,64.4,24.9
B42,18.2,21.4,60.2
B43,14.0,17.5,57.7
B44,19.8,19.7,58.8
B45,7.4,18.4,61.8
B46,15.9,15.6,61.1
B47,9.6,17.9,56.6
B48,9.6,17.9,56.6
B49,16.7,14.5,56.8
B5,38.7,54.6,32.1
B50,11.0,16.6,60.6
B6,37.0,25.8,56.7
B60,9.0,21.4,63.2
B61,12.2,19.5,62.4
B62,18.0,20.5,60.0
B63,14.4,18.0,56.3
B64,17.2,20.4,56.8
B65,13.1,20.8,57.1
B66,29.7,30.3,50.6
B67,33.9,21.1,65.7
B68,13.0,20.9,58.9
B69,26.3,23.8,60.7
B7,23.7,35.2,44.6
B70,17.4,24.2,55.8
B71,16.9,24.1,55.8
B72,8.5,17.3,53.5
B73,8.5,17.3,53.5
B74,8.1,17.1,56.2
B75,10.5,22.3,61.7
B76,12.7,18.1,57.4
B77,10.0,17.9,61.5
B78,16.1,15.4,55.8
B79,9.3,17.2,58.4
